2026-01-05 18:56:36 | INFO     | log:151 | [config] Loaded config | DEBUG_MODE=3
2026-01-05 18:56:39 | INFO     | log:151 | [main] FastAPI app initialized (Per-Example Embedding Architecture)
2026-01-05 18:56:39 | INFO     | log:151 | [lifespan] Server starting - running warmup...
2026-01-05 18:56:39 | INFO     | log:151 | [warmup] Loading tables...
2026-01-05 18:56:39 | DEBUG    | log:153 | [get_tables] Getting tables...
2026-01-05 18:56:46 | DEBUG    | log:153 | [get_tables] Loaded existing tables
2026-01-05 18:56:46 | INFO     | log:151 | [warmup] Tables loaded: 20 docs, 351 examples
2026-01-05 18:56:46 | INFO     | log:151 | [warmup] Loading embedding model...
2026-01-05 18:56:46 | INFO     | log:151 | [get_embedding_model] Loading model on GPU (NVIDIA RTX A5000)...
2026-01-05 18:56:51 | INFO     | log:151 | [get_embedding_model] Model loaded on GPU (NVIDIA RTX A5000)
2026-01-05 18:56:51 | INFO     | log:151 | [warmup] Embedding model loaded on GPU (NVIDIA RTX A5000)
2026-01-05 18:56:51 | INFO     | log:151 | [warmup] Building embeddings cache...
2026-01-05 18:56:51 | INFO     | log:151 | [build_embeddings_cache] Building embeddings cache...
2026-01-05 18:56:52 | INFO     | log:151 | [build_embeddings_cache] Cache built in 0.61s: 351 examples, 20 docs on GPU (NVIDIA RTX A5000)
2026-01-05 18:56:52 | INFO     | log:151 | [warmup] Embeddings cache built
2026-01-05 18:56:52 | INFO     | log:151 | [warmup] Building corpus stats cache...
2026-01-05 18:56:52 | INFO     | log:151 | [get_corpus_stats] Rebuilding corpus stats cache...
2026-01-05 18:56:52 | INFO     | log:151 | [warmup] Corpus stats cache built
2026-01-05 18:56:52 | INFO     | log:151 | [warmup] System ready in 12.48s | URLs: ['http://localhost:6804', 'http://192.168.3.7:6804']
